"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.597541669E-3,-9.391291997E-1,1.019422288E0,-1.089202082E0
1.756154164E-2,-8.099551427E-1,1.294679965E0,-6.806808060E-1
2.752554161E-2,-2.869082540E-1,1.354715667E0,-4.442322689E-1
3.748954169E-2,-1.740336031E-2,1.435710129E0,-5.217382818E-2
4.745254165E-2,4.438270569E-2,1.623794591E0,1.271371209E0
5.741654162E-2,2.330755708E-1,1.802184954E0,3.045490113E0
6.738054170E-2,3.314117047E-1,1.828853520E0,4.167063843E0
7.734454167E-2,4.630629346E-1,1.496433463E0,4.260666071E0
8.730854164E-2,5.932430050E-1,8.668497205E-1,3.534247760E0
9.727254161E-2,5.315896708E-1,4.589111191E-1,2.615395242E0
1.072365417E-1,3.092373088E-1,3.058918244E-1,2.158927967E0
1.172005417E-1,2.728202650E-1,9.738479197E-2,2.039433975E0
1.271645416E-1,4.606263998E-1,-3.214588666E-1,1.932460042E0
1.371285417E-1,7.680083871E-1,-7.015957117E-1,1.757301142E0
1.470925417E-1,1.122347609E0,-9.063862538E-1,1.566055090E0
1.570565416E-1,1.422879876E0,-8.917840022E-1,1.304159471E0
1.670195416E-1,1.628149305E0,-7.398376715E-1,8.897523871E-1
1.769835417E-1,1.728969043E0,-7.548696935E-1,3.940970725E-1
1.869475417E-1,1.832624974E0,-9.524658215E-1,-1.472258735E-1
1.969115416E-1,1.932705333E0,-8.997063947E-1,-6.332914621E-1
2.068755417E-1,1.926817771E0,-5.558316422E-1,-8.634428403E-1
2.168395417E-1,1.746957125E0,-3.578384882E-1,-4.100476921E-1
2.268035416E-1,1.548432167E0,-5.934409332E-1,2.495910314E-1
2.367675416E-1,1.360752040E0,-9.604542875E-1,6.762448159E-1
2.467315417E-1,1.137188427E0,-1.232958511E0,1.016709765E0
2.566955417E-1,8.578078786E-1,-1.231503723E0,9.487510854E-1
2.666595416E-1,6.751054859E-1,-9.675703490E-1,5.815778098E-1
2.766235416E-1,6.567621857E-1,-6.899585831E-1,1.916331375E-1
