"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.130954742E-3,6.504196716E1,2.546514734E1,2.105107107E1,0.000000000E0,NaN,1.200458813E1,5.303941345E1
1.407599449E-2,6.504195603E1,2.546514044E1,1.940601301E1,0.000000000E0,NaN,1.613223235E1,3.000000000E1
2.288762808E0,6.504197712E1,2.546523559E1,1.728567052E1,0.000000000E0,NaN,9.623900801E0,3.215868378E1
3.288753271E0,6.504198505E1,2.546523778E1,1.707431753E1,1.222096682E0,NaN,8.813945744E0,4.286428833E1
6.288724899E0,6.504201145E1,2.546522350E1,1.518807385E1,0.000000000E0,NaN,9.865468965E0,6.631953430E1
7.288715243E0,6.504201994E1,2.546522495E1,1.540508892E1,0.000000000E0,NaN,1.019997614E1,6.163585281E1
8.288728237E0,6.504203197E1,2.546522664E1,1.543985419E1,0.000000000E0,NaN,1.108219622E1,1.525918121E2
9.288725138E0,6.504211078E1,2.546521907E1,1.691588958E1,0.000000000E0,1.465530468E1,7.361321552E0,1.304317188E1
1.028871572E1,6.504213559E1,2.546521380E1,1.700278926E1,8.876903653E-1,9.939932464E0,5.778548833E0,9.904542923E0
1.175471830E1,6.504215668E1,2.546521740E1,1.823864879E1,6.562196612E-1,1.829838414E0,4.642925376E0,7.454326630E0
1.275578547E1,6.504215442E1,2.546521566E1,1.861651943E1,6.562196612E-1,3.447486074E2,4.229269689E0,7.046429157E0
1.375676405E1,6.504215742E1,2.546521736E1,1.872246721E1,5.360514522E-1,3.447486074E2,4.275168470E0,6.421606541E0
1.475774658E1,6.504216976E1,2.546521613E1,1.872239864E1,5.360514522E-1,3.447486047E2,3.250295416E0,6.781085325E0
1.575867200E1,6.504218505E1,2.546521056E1,1.876199221E1,5.360514522E-1,3.447486047E2,3.426986726E0,6.583172557E0
1.675953662E1,6.504218703E1,2.546520955E1,1.860710704E1,3.915908337E-1,3.447486054E2,3.582400163E0,6.180633499E0
1.776039600E1,6.504220255E1,2.546519509E1,1.791741219E1,2.036172450E-1,3.447486064E2,4.789107476E0,5.900645733E0
1.876114905E1,6.504218768E1,2.546520276E1,1.876029132E1,2.822289765E-1,3.447486060E2,4.748651530E0,6.234534709E0
1.976185000E1,6.504218018E1,2.546519982E1,1.873740752E1,2.722151577E-1,3.447486060E2,4.748651530E0,6.072159651E0
2.076254916E1,6.504218719E1,2.546520820E1,1.731984297E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.454866420E0
2.176314139E1,6.504219935E1,2.546520890E1,1.624407109E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.199655845E0
2.276368952E1,6.504220810E1,2.546519832E1,1.490684397E1,4.020583630E-1,3.447486054E2,4.748651530E0,6.020495449E0
2.376420760E1,6.504221530E1,2.546518703E1,1.443001351E1,5.850764513E-1,3.447486045E2,4.748651530E0,6.071835378E0
2.476469636E1,6.504221937E1,2.546517849E1,1.413551956E1,4.737529159E-1,3.447486050E2,4.748651530E0,5.999970560E0
2.576515114E1,6.504224570E1,2.546516530E1,1.462968104E1,4.737529159E-1,3.447486050E2,4.748651530E0,6.196295434E0
2.676557779E1,6.504226589E1,2.546515617E1,1.583221283E1,4.737529159E-1,3.447486050E2,4.748651530E0,6.755789268E0
2.776597965E1,6.504229097E1,2.546514270E1,1.844616534E1,7.795879841E-1,3.413362401E2,4.748651530E0,5.443789525E0
2.876635373E1,6.504230468E1,2.546512742E1,1.793226414E1,9.801668525E-1,3.413362389E2,4.748651530E0,5.202501132E0
2.976670969E1,6.504231245E1,2.546511872E1,1.747010877E1,9.910740852E-1,3.413362388E2,4.748651530E0,4.746948210E0
3.076703906E1,6.504232430E1,2.546511489E1,1.716292460E1,9.801668525E-1,3.413362389E2,4.748651530E0,4.770846582E0
3.176734769E1,6.504233838E1,2.546512551E1,1.758261249E1,9.910740852E-1,4.614684805E0,4.748651530E0,4.439121397E0
3.276763570E1,6.504234230E1,2.546513294E1,1.708907333E1,5.935112238E-1,4.614684189E0,4.748651530E0,4.385216885E0
3.376790738E1,6.504234123E1,2.546513286E1,1.689350544E1,5.935112238E-1,4.614684189E0,4.748651530E0,5.376065344E0
3.476816010E1,6.504234906E1,2.546515342E1,1.790807157E1,4.936649646E-1,3.400148407E2,3.861138636E0,3.567821904E0
3.576839709E1,6.504235793E1,2.546513747E1,1.713771068E1,7.899419372E-1,3.467018627E2,3.589249068E0,3.193952898E0
3.676862025E1,6.504236846E1,2.546512295E1,1.666259972E1,9.659356372E-1,3.376797857E2,3.280949538E0,3.000000000E0
3.776882732E1,6.504237708E1,2.546511493E1,1.613441603E1,8.034453853E-1,3.381484662E2,2.962107296E0,3.000000000E0
3.876902187E1,6.504237983E1,2.546510813E1,1.570547512E1,7.176508116E-1,3.342830101E2,2.844446700E0,3.000000000E0
3.976920354E1,6.504238652E1,2.546509439E1,1.535817809E1,6.534843460E-1,3.381963002E2,2.881372729E0,3.000000000E0
4.076937413E1,6.504239581E1,2.546508533E1,1.521468159E1,6.978300919E-1,3.425432313E2,2.951500774E0,3.000000000E0
4.176953483E1,6.504240885E1,2.546506789E1,1.573161954E1,9.409400288E-1,3.407608007E2,2.901324690E0,3.000000000E0
4.276968312E1,6.504239922E1,2.546506696E1,1.336429295E1,8.617596365E-1,3.391556934E2,2.950367821E0,3.686452132E0
4.376982331E1,6.504240498E1,2.546506300E1,1.434116686E1,4.132148770E-1,3.394342040E2,3.064605490E0,3.770655111E0
4.476995492E1,6.504241384E1,2.546505223E1,1.374902627E1,4.874505158E-1,3.400226930E2,3.216335231E0,4.072255867E0
4.577007616E1,6.504242294E1,2.546504155E1,1.330172541E1,7.306690959E-1,3.406076527E2,3.298436300E0,4.093000087E0
4.677019227E1,6.504243579E1,2.546503236E1,1.333626430E1,8.133997934E-1,3.406187799E2,3.299234205E0,3.957848519E0
4.777029884E1,6.504244899E1,2.546503362E1,1.322107442E1,8.310719350E-1,3.529654261E2,3.308948779E0,4.003657847E0
4.877039886E1,6.504245783E1,2.546503194E1,1.280790452E1,8.576395433E-1,3.549797916E2,3.380492961E0,4.158584905E0
4.977049279E1,6.504247318E1,2.546503465E1,1.289966110E1,1.150282361E0,3.589014187E2,3.545207136E0,4.404859756E0
5.077058041E1,6.504248351E1,2.546503333E1,1.366022728E1,9.224834423E-1,3.598937642E2,3.658693903E0,4.481761314E0
5.177066195E1,6.504248672E1,2.546503356E1,1.375800315E1,5.063743872E-1,2.124616629E0,3.671977438E0,4.721661633E0
5.277074039E1,6.504250323E1,2.546504430E1,1.316395416E1,9.191435293E-1,1.044052929E1,3.688514438E0,4.614685558E0
5.377080989E1,6.504251026E1,2.546504839E1,1.303205086E1,7.502754555E-1,1.826295067E1,3.642028257E0,4.486149435E0
5.477087712E1,6.504252499E1,2.546506174E1,1.345971590E1,1.010725366E0,2.221419756E1,3.652240402E0,4.516755503E0
5.577094007E1,6.504253534E1,2.546507294E1,1.399593615E1,8.862609797E-1,2.922414853E1,3.592399955E0,4.562059265E0
5.677099741E1,6.504255043E1,2.546508364E1,1.433366072E1,1.032447514E0,2.924760380E1,3.512779948E0,4.345216805E0
5.777105212E1,6.504256211E1,2.546508906E1,1.485323718E1,9.801351218E-1,2.507880126E1,3.460460057E0,4.227399003E0
5.877110243E1,6.504256889E1,2.546509563E1,1.460268407E1,7.915264906E-1,2.540038368E1,3.430060965E0,4.180436208E0
5.977115047E1,6.504258185E1,2.546511050E1,1.497687447E1,1.044096973E0,2.664686966E1,3.467842847E0,4.196951823E0
6.077119374E1,6.504259256E1,2.546512760E1,1.514684000E1,1.149354871E0,3.211818292E1,3.466448069E0,4.177311448E0
6.177123547E1,6.504260498E1,2.546513924E1,1.531952358E1,1.209252433E0,2.831307933E1,3.443684257E0,4.189427273E0
6.277127385E1,6.504261966E1,2.546514941E1,1.534848888E1,1.391645907E0,2.286397204E1,3.371500021E0,4.066276046E0
6.377130914E1,6.504263271E1,2.546515853E1,1.532535952E1,1.522806014E0,2.030383601E1,3.327877523E0,4.416575510E0
6.477134180E1,6.504264607E1,2.546516676E1,1.558641528E1,1.571514700E0,1.848669403E1,3.280539621E0,4.506198800E0
